"Constraint","TYPE","WHAT","Condition","LB","UB"
1,"Number","Item","",12,12
2,"Number","Item","SUBDOMAIN == ""Impact""",6,6
3,"Number","Item","SUBDOMAIN == ""Experience""",6,6
4,"Number","Item","SUBSUBDOMAIN == ""Mental""",1,2
5,"Number","Item","SUBSUBDOMAIN == ""Social""",1,2
6,"Number","Item","RATINGSCALE == ""Intensity""",6,6
7,"Number","Item","RATINGSCALE == ""Frequency""",6,6
8,"Number","Item","STRATA == 1",4,4
9,"Number","Item","STRATA == 2",4,4
10,"Number","Item","STRATA == 3",4,4
11,"Number","Item","!is.na(FACIT)",1,2
12,"Order","Item","STRATA",NA,NA
13,"Enemy","Item","ID %in% c(""FATIMP1"", ""FATIMP47"")",NA,NA
14,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP6"")",NA,NA
15,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP11"")",NA,NA
16,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP14"")",NA,NA
17,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP30"")",NA,NA
18,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP35"")",NA,NA
19,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP38"")",NA,NA
20,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP43"")",NA,NA
21,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP44"")",NA,NA
22,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP52"")",NA,NA
23,"Enemy","Item","ID %in% c(""FATIMP4"", ""FATIMP15"")",NA,NA
24,"Enemy","Item","ID %in% c(""FATIMP4"", ""FATIMP18"")",NA,NA
25,"Enemy","Item","ID %in% c(""FATIMP4"", ""FATIMP34"")",NA,NA
26,"Enemy","Item","ID %in% c(""FATIMP4"", ""FATIMP48"")",NA,NA
27,"Enemy","Item","ID %in% c(""FATIMP4"", ""FATIMP56"")",NA,NA
28,"Enemy","Item","ID %in% c(""FATIMP4"", ""AN16"")",NA,NA
29,"Enemy","Item","ID %in% c(""FATIMP5"", ""FATIMP33"")",NA,NA
30,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP11"")",NA,NA
31,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP14"")",NA,NA
32,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP17"")",NA,NA
33,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP20"")",NA,NA
34,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP22"")",NA,NA
35,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP30"")",NA,NA
36,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP35"")",NA,NA
37,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP38"")",NA,NA
38,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP44"")",NA,NA
39,"Enemy","Item","ID %in% c(""FATIMP11"", ""FATIMP14"")",NA,NA
40,"Enemy","Item","ID %in% c(""FATIMP11"", ""FATIMP20"")",NA,NA
41,"Enemy","Item","ID %in% c(""FATIMP11"", ""FATIMP30"")",NA,NA
42,"Enemy","Item","ID %in% c(""FATIMP11"", ""FATIMP44"")",NA,NA
43,"Enemy","Item","ID %in% c(""FATIMP14"", ""FATIMP17"")",NA,NA
