"ID","RC","Content.Area","Format","DOK"
80,"B","RED","DR",2
112,"A","RED","CV",2
171,"C","RED","RS",2
270,"B","RED","RS",2
60,"C","WRI","DR",2
266,"C","SPK","RS",2
278,"B","WRI","DR",2
194,"B","SPK","CV",2
184,"B","LIS","DR",2
18,"A","RED","CV",2
296,"B","WRI","DR",2
52,"A","RED","RS",3
198,"A","WRI","DR",2
111,"A","RED","CV",2
221,"A","WRI","CV",2
142,"A","WRI","DR",2
204,"B","RED","RS",2
281,"B","LIS","RS",2
108,"A","RED","CV",2
219,"A","WRI","CV",2
262,"A","WRI","RS",2
290,"C","RED","RS",2
182,"C","WRI","RS",2
35,"A","LIS","DR",2
74,"A","SPK","CV",2
107,"B","RED","DR",3
4,"B","WRI","DR",2
105,"B","RED","DR",2
237,"B","SPK","DR",2
93,"C","LIS","RS",2
131,"C","RED","RS",2
162,"B","RED","DR",1
133,"A","LIS","CV",2
50,"B","RED","RS",2
286,"C","LIS","RS",2
178,"B","WRI","RS",2
210,"A","RED","RS",2
29,"C","SPK","RS",2
190,"A","SPK","CV",2
282,"B","LIS","RS",1
214,"B","LIS","DR",2
168,"B","RED","RS",2
202,"C","RED","RS",2
143,"B","WRI","DR",3
136,"A","LIS","CV",2
258,"B","WRI","RS",2
6,"C","RED","RS",2
121,"A","RED","DR",2
185,"B","LIS","DR",2
174,"B","SPK","RS",2
120,"A","WRI","RS",2
215,"B","LIS","DR",2
109,"A","RED","CV",2
61,"A","WRI","DR",2
291,"B","RED","RS",2
25,"C","SPK","RS",3
78,"B","RED","DR",3
127,"A","RED","RS",2
161,"B","RED","DR",2
99,"B","WRI","DR",2
220,"A","WRI","CV",2
71,"A","SPK","CV",1
110,"A","RED","CV",3
79,"A","RED","DR",3
154,"C","WRI","RS",2
247,"A","RED","DR",2
299,"B","RED","DR",2
179,"A","WRI","RS",2
20,"A","RED","CV",3
203,"B","RED","RS",2
244,"A","SPK","DR",2
193,"A","SPK","CV",2
300,"B","RED","DR",2
76,"B","RED","DR",2
261,"A","WRI","RS",2
201,"C","RED","RS",2
293,"B","WRI","DR",2
87,"C","SPK","RS",2
173,"C","SPK","RS",2
213,"B","LIS","DR",1
96,"A","LIS","RS",2
157,"B","SPK","RS",3
88,"B","SPK","RS",2
239,"B","SPK","DR",2
164,"B","RED","DR",2
44,"C","LIS","RS",2
153,"B","WRI","RS",3
26,"A","SPK","RS",1
53,"C","SPK","RS",2
31,"B","LIS","DR",2
51,"B","RED","RS",2
13,"C","LIS","RS",2
134,"A","LIS","CV",2
294,"B","WRI","DR",2
242,"A","SPK","DR",2
216,"B","LIS","DR",2
271,"C","RED","RS",2
84,"B","SPK","DR",2
205,"B","RED","RS",2
122,"B","RED","DR",2
297,"B","WRI","DR",2
217,"A","LIS","DR",3
54,"C","SPK","RS",2
196,"B","WRI","DR",1
125,"B","RED","DR",2
42,"C","LIS","RS",2
