"ID","RC","Content.Area","Format","DOK"
331,"B","LIS","RS",2
522,"B","RED","DR",2
395,"B","SPK","RS",2
378,"A","RED","RS",2
459,"A","RED","RS",3
576,"A","SPK","CV",2
317,"C","WRI","RS",2
367,"B","SPK","DR",2
449,"B","SPK","DR",3
464,"C","WRI","RS",2
429,"C","WRI","RS",2
426,"A","WRI","RS",2
434,"B","SPK","DR",2
440,"A","LIS","RS",2
529,"C","RED","RS",2
517,"B","SPK","RS",2
312,"A","SPK","CV",2
480,"B","LIS","DR",1
534,"A","SPK","DR",3
359,"C","WRI","RS",2
344,"A","WRI","DR",2
285,"A","LIS","RS",2
316,"B","WRI","RS",2
306,"B","SPK","DR",2
346,"B","RED","DR",2
498,"B","LIS","RS",2
445,"B","RED","DR",2
566,"B","LIS","DR",2
433,"B","SPK","DR",3
485,"B","LIS","DR",2
383,"A","LIS","CV",2
381,"A","RED","RS",3
326,"A","RED","CV",2
402,"B","RED","DR",3
349,"C","RED","DR",2
370,"B","SPK","DR",3
515,"B","SPK","RS",2
334,"B","SPK","RS",1
432,"B","SPK","DR",2
335,"B","SPK","RS",2
354,"A","SPK","DR",2
484,"A","LIS","DR",2
325,"A","RED","CV",2
427,"A","WRI","RS",2
388,"A","LIS","CV",3
546,"C","WRI","RS",2
293,"B","WRI","DR",2
307,"A","SPK","DR",2
360,"C","WRI","RS",3
481,"B","LIS","DR",2
338,"B","SPK","RS",2
543,"A","WRI","CV",1
555,"C","SPK","RS",2
526,"B","RED","RS",2
488,"B","RED","DR",2
504,"B","SPK","DR",2
578,"C","LIS","RS",2
541,"A","WRI","CV",2
311,"A","SPK","CV",2
348,"B","RED","DR",2
476,"B","LIS","DR",2
294,"B","WRI","DR",2
472,"A","WRI","CV",2
305,"B","SPK","DR",2
461,"B","RED","RS",3
352,"C","SPK","DR",2
516,"C","SPK","RS",2
406,"B","LIS","DR",1
365,"C","RED","DR",2
302,"A","RED","DR",3
455,"C","SPK","RS",3
510,"C","WRI","RS",3
486,"B","RED","DR",2
500,"B","LIS","RS",2
397,"C","SPK","RS",2
404,"B","RED","DR",2
574,"A","SPK","CV",3
525,"B","RED","DR",2
509,"C","WRI","RS",1
446,"B","SPK","DR",2
453,"C","SPK","RS",2
424,"B","WRI","RS",2
363,"C","RED","DR",1
282,"B","LIS","RS",1
487,"B","RED","DR",2
514,"C","WRI","RS",3
548,"C","WRI","RS",2
386,"A","LIS","CV",2
415,"A","WRI","CV",2
475,"A","WRI","CV",2
283,"C","LIS","RS",2
336,"C","SPK","RS",2
371,"B","WRI","DR",2
452,"C","SPK","RS",2
460,"C","RED","RS",1
332,"A","LIS","RS",2
347,"C","RED","DR",2
343,"B","WRI","DR",2
318,"C","WRI","RS",2
417,"A","WRI","CV",2
568,"B","LIS","DR",2
416,"A","WRI","CV",2
322,"A","RED","CV",2
421,"A","RED","RS",2
399,"C","SPK","RS",2
539,"A","WRI","CV",2
288,"B","RED","RS",2
358,"C","WRI","RS",2
296,"B","WRI","DR",2
340,"B","WRI","DR",2
342,"B","WRI","DR",2
295,"B","WRI","DR",1
309,"A","SPK","CV",3
468,"C","WRI","RS",3
450,"A","SPK","DR",3
410,"A","LIS","DR",3
431,"B","SPK","DR",2
547,"A","WRI","RS",2
320,"B","WRI","RS",2
364,"A","RED","DR",2
465,"B","WRI","RS",2
428,"C","WRI","RS",2
537,"A","WRI","CV",2
558,"B","SPK","RS",2
493,"A","RED","CV",2
356,"C","WRI","RS",2
391,"A","LIS","RS",2
353,"B","SPK","DR",2
542,"A","WRI","CV",2
523,"B","RED","DR",1
553,"B","LIS","DR",3
495,"A","RED","CV",2
337,"C","SPK","RS",2
482,"B","LIS","DR",2
418,"B","RED","RS",2
369,"C","SPK","DR",2
297,"B","WRI","DR",2
298,"B","RED","DR",2
373,"B","WRI","DR",2
573,"A","SPK","CV",2
561,"B","RED","DR",1
580,"C","LIS","RS",2
536,"C","SPK","DR",2
479,"B","LIS","DR",2
413,"B","WRI","CV",2
478,"B","LIS","DR",2
374,"C","WRI","DR",2
408,"B","LIS","DR",2
545,"C","WRI","RS",2
579,"A","LIS","RS",2
396,"B","SPK","RS",1
299,"B","RED","DR",2
412,"A","WRI","CV",2
494,"A","RED","CV",1
375,"B","WRI","DR",3
319,"B","WRI","RS",2
304,"B","SPK","DR",2
518,"C","SPK","RS",3
483,"B","LIS","DR",2
286,"C","LIS","RS",2
492,"A","RED","CV",2
351,"B","SPK","DR",2
330,"C","LIS","RS",1
401,"B","RED","DR",2
550,"B","LIS","DR",2
437,"A","LIS","RS",3
400,"C","SPK","RS",2
499,"B","LIS","RS",3
384,"A","LIS","CV",2
544,"B","WRI","RS",2
345,"B","RED","DR",1
469,"B","WRI","CV",2
502,"C","LIS","RS",2
394,"C","LIS","RS",2
436,"C","LIS","RS",2
491,"A","RED","CV",2
572,"A","SPK","CV",2
377,"C","RED","RS",2
303,"B","SPK","DR",1
535,"C","SPK","DR",3
513,"C","WRI","RS",1
503,"B","LIS","RS",1
300,"B","RED","DR",2
292,"A","RED","RS",2
310,"A","SPK","CV",3
462,"B","RED","RS",1
577,"A","SPK","CV",2
409,"B","LIS","DR",2
425,"C","WRI","RS",2
457,"B","RED","RS",2
551,"B","LIS","DR",2
442,"B","RED","DR",2
315,"B","WRI","RS",1
471,"A","WRI","CV",2
355,"C","WRI","RS",2
435,"B","LIS","RS",2
366,"B","SPK","DR",2
563,"C","RED","DR",3
323,"A","RED","CV",2
467,"A","WRI","RS",2
540,"A","WRI","CV",2
575,"A","SPK","CV",3
314,"A","SPK","CV",2
328,"B","LIS","RS",2
362,"B","RED","DR",2
520,"B","SPK","RS",2
531,"C","RED","RS",3
560,"B","SPK","RS",2
473,"A","WRI","CV",2
490,"B","RED","DR",2
556,"C","SPK","RS",3
382,"A","LIS","CV",1
390,"C","LIS","RS",2
570,"A","LIS","DR",2
527,"C","RED","RS",2
528,"C","RED","RS",2
301,"B","RED","DR",2
290,"C","RED","RS",2
448,"B","SPK","DR",2
387,"A","LIS","CV",3
557,"C","SPK","RS",2
508,"A","SPK","DR",3
571,"A","SPK","CV",3
458,"C","RED","RS",2
532,"B","SPK","DR",2
466,"B","WRI","RS",2
419,"B","RED","RS",2
477,"A","LIS","DR",2
444,"B","RED","DR",2
552,"B","LIS","DR",2
463,"C","WRI","RS",1
549,"A","WRI","RS",2
438,"C","LIS","RS",2
385,"A","LIS","CV",2
392,"B","LIS","RS",2
339,"C","SPK","RS",2
569,"B","LIS","DR",3
398,"A","SPK","RS",2
430,"B","SPK","DR",2
389,"B","LIS","RS",1
559,"C","SPK","RS",2
324,"A","RED","CV",2
447,"B","SPK","DR",2
284,"C","LIS","RS",2
524,"A","RED","DR",3
422,"B","RED","RS",3
411,"A","WRI","CV",2
