"ID","RC","Content.Area","Format","DOK"
1,"IOD","CHE","DR",2
2,"IOD","CHE","DR",1
3,"EMI","CHE","DR",2
4,"IOD","CHE","DR",2
5,"EMI","CHE","DR",2
6,"SIN","BIO","RS",2
7,"SIN","BIO","RS",2
8,"EMI","BIO","RS",2
9,"EMI","BIO","RS",2
10,"SIN","BIO","RS",3
11,"EMI","BIO","RS",2
12,"IOD","ESS","RS",1
13,"SIN","ESS","RS",2
14,"EMI","ESS","RS",2
15,"SIN","ESS","RS",2
16,"SIN","ESS","RS",2
17,"EMI","ESS","RS",2
18,"EMI","BIO","CV",2
19,"EMI","BIO","CV",1
20,"EMI","BIO","CV",3
21,"EMI","BIO","CV",2
22,"EMI","BIO","CV",3
23,"EMI","BIO","CV",2
24,"EMI","BIO","CV",2
25,"SIN","PHY","RS",3
26,"EMI","PHY","RS",1
27,"SIN","PHY","RS",2
28,"SIN","PHY","RS",2
29,"SIN","PHY","RS",2
30,"EMI","PHY","RS",3
31,"IOD","ESS","DR",2
32,"EMI","ESS","DR",2
33,"EMI","ESS","DR",2
34,"IOD","ESS","DR",2
35,"EMI","ESS","DR",2
36,"IOD","CHE","DR",2
37,"IOD","CHE","DR",2
38,"IOD","CHE","DR",3
39,"IOD","CHE","DR",3
40,"IOD","CHE","DR",2
41,"IOD","ESS","RS",1
42,"SIN","ESS","RS",2
43,"SIN","ESS","RS",2
44,"SIN","ESS","RS",2
45,"IOD","ESS","RS",2
46,"EMI","ESS","RS",2
47,"SIN","BIO","RS",2
48,"IOD","BIO","RS",2
49,"SIN","BIO","RS",3
50,"IOD","BIO","RS",2
51,"IOD","BIO","RS",2
52,"EMI","BIO","RS",3
53,"SIN","PHY","RS",2
54,"SIN","PHY","RS",2
55,"EMI","PHY","RS",2
56,"IOD","PHY","RS",3
57,"EMI","PHY","RS",2
58,"IOD","PHY","RS",3
59,"EMI","CHE","DR",2
60,"SIN","CHE","DR",2
61,"EMI","CHE","DR",2
62,"EMI","CHE","DR",2
63,"IOD","CHE","DR",2
64,"IOD","ESS","DR",2
65,"IOD","ESS","DR",2
66,"IOD","ESS","DR",2
67,"EMI","ESS","DR",2
68,"IOD","ESS","DR",2
69,"EMI","PHY","CV",2
70,"EMI","PHY","CV",2
71,"EMI","PHY","CV",1
72,"EMI","PHY","CV",2
73,"EMI","PHY","CV",2
74,"EMI","PHY","CV",2
75,"IOD","PHY","CV",2
76,"IOD","BIO","DR",2
77,"IOD","BIO","DR",2
78,"IOD","BIO","DR",3
79,"EMI","BIO","DR",3
80,"IOD","BIO","DR",2
81,"IOD","PHY","DR",2
82,"IOD","PHY","DR",2
83,"IOD","PHY","DR",2
84,"IOD","PHY","DR",2
85,"IOD","PHY","DR",2
86,"SIN","PHY","RS",2
87,"SIN","PHY","RS",2
88,"IOD","PHY","RS",2
89,"SIN","PHY","RS",2
90,"SIN","PHY","RS",2
91,"SIN","PHY","RS",2
92,"IOD","ESS","RS",2
93,"SIN","ESS","RS",2
94,"EMI","ESS","RS",2
95,"SIN","ESS","RS",2
96,"EMI","ESS","RS",2
97,"EMI","ESS","RS",2
98,"IOD","CHE","DR",2
99,"IOD","CHE","DR",2
100,"IOD","CHE","DR",3
101,"IOD","CHE","DR",3
102,"IOD","CHE","DR",3
103,"IOD","BIO","DR",2
104,"EMI","BIO","DR",2
105,"IOD","BIO","DR",2
106,"IOD","BIO","DR",2
107,"IOD","BIO","DR",3
108,"EMI","BIO","CV",2
109,"EMI","BIO","CV",2
110,"EMI","BIO","CV",3
111,"EMI","BIO","CV",2
112,"EMI","BIO","CV",2
113,"EMI","BIO","CV",2
114,"EMI","BIO","CV",3
115,"SIN","CHE","RS",2
116,"SIN","CHE","RS",2
117,"SIN","CHE","RS",2
118,"SIN","CHE","RS",2
119,"SIN","CHE","RS",2
120,"EMI","CHE","RS",2
121,"EMI","BIO","DR",2
122,"IOD","BIO","DR",2
123,"IOD","BIO","DR",2
124,"EMI","BIO","DR",2
125,"IOD","BIO","DR",2
126,"EMI","BIO","RS",2
127,"EMI","BIO","RS",2
128,"IOD","BIO","RS",2
129,"SIN","BIO","RS",2
130,"SIN","BIO","RS",2
131,"SIN","BIO","RS",2
132,"EMI","ESS","CV",2
133,"EMI","ESS","CV",2
134,"EMI","ESS","CV",2
135,"EMI","ESS","CV",2
136,"EMI","ESS","CV",2
137,"EMI","ESS","CV",2
138,"EMI","ESS","CV",2
139,"IOD","CHE","DR",1
140,"IOD","CHE","DR",2
141,"IOD","CHE","DR",2
142,"EMI","CHE","DR",2
143,"IOD","CHE","DR",3
144,"IOD","PHY","DR",1
145,"IOD","PHY","DR",2
146,"IOD","PHY","DR",2
147,"IOD","PHY","DR",2
148,"IOD","PHY","DR",3
149,"IOD","CHE","RS",2
150,"EMI","CHE","RS",2
151,"IOD","CHE","RS",2
152,"IOD","CHE","RS",2
153,"IOD","CHE","RS",3
154,"SIN","CHE","RS",2
155,"SIN","PHY","RS",2
156,"IOD","PHY","RS",2
157,"IOD","PHY","RS",3
158,"IOD","PHY","RS",2
159,"EMI","PHY","RS",3
160,"IOD","PHY","RS",2
161,"IOD","BIO","DR",2
162,"IOD","BIO","DR",1
163,"IOD","BIO","DR",2
164,"IOD","BIO","DR",2
165,"EMI","BIO","DR",2
166,"IOD","BIO","RS",2
167,"EMI","BIO","RS",2
168,"IOD","BIO","RS",2
169,"SIN","BIO","RS",2
170,"EMI","BIO","RS",2
171,"SIN","BIO","RS",2
172,"EMI","PHY","RS",2
173,"SIN","PHY","RS",2
174,"IOD","PHY","RS",2
175,"IOD","PHY","RS",2
176,"EMI","PHY","RS",2
177,"SIN","PHY","RS",2
178,"IOD","CHE","RS",2
179,"EMI","CHE","RS",2
180,"SIN","CHE","RS",2
181,"SIN","CHE","RS",2
182,"SIN","CHE","RS",2
183,"SIN","CHE","RS",3
184,"IOD","ESS","DR",2
185,"IOD","ESS","DR",2
186,"IOD","ESS","DR",2
187,"EMI","ESS","DR",2
188,"EMI","ESS","DR",3
189,"EMI","PHY","CV",2
190,"EMI","PHY","CV",2
191,"EMI","PHY","CV",2
192,"EMI","PHY","CV",2
193,"EMI","PHY","CV",2
194,"IOD","PHY","CV",2
195,"EMI","PHY","CV",3
196,"IOD","CHE","DR",1
197,"EMI","CHE","DR",1
198,"EMI","CHE","DR",2
199,"IOD","CHE","DR",3
200,"EMI","CHE","DR",3
201,"SIN","BIO","RS",2
202,"SIN","BIO","RS",2
203,"IOD","BIO","RS",2
204,"IOD","BIO","RS",2
205,"IOD","BIO","RS",2
206,"IOD","BIO","RS",2
207,"IOD","BIO","RS",2
208,"IOD","BIO","RS",2
209,"IOD","BIO","RS",2
210,"EMI","BIO","RS",2
211,"IOD","BIO","RS",2
212,"SIN","BIO","RS",2
213,"IOD","ESS","DR",1
214,"IOD","ESS","DR",2
215,"IOD","ESS","DR",2
216,"IOD","ESS","DR",2
217,"EMI","ESS","DR",3
218,"SIN","CHE","CV",2
219,"EMI","CHE","CV",2
220,"EMI","CHE","CV",2
221,"EMI","CHE","CV",2
222,"EMI","CHE","CV",2
223,"EMI","CHE","CV",2
224,"EMI","CHE","CV",2
225,"IOD","CHE","DR",1
226,"IOD","CHE","DR",2
227,"IOD","CHE","DR",2
228,"IOD","CHE","DR",2
229,"IOD","CHE","DR",2
230,"IOD","ESS","RS",2
231,"IOD","ESS","RS",2
232,"EMI","ESS","RS",2
233,"SIN","ESS","RS",2
234,"SIN","ESS","RS",2
235,"EMI","ESS","RS",2
236,"EMI","PHY","DR",2
237,"IOD","PHY","DR",2
238,"EMI","PHY","DR",3
239,"IOD","PHY","DR",2
240,"IOD","PHY","DR",2
241,"IOD","PHY","DR",2
242,"EMI","PHY","DR",2
243,"IOD","PHY","DR",1
244,"EMI","PHY","DR",2
245,"EMI","PHY","DR",2
246,"EMI","BIO","DR",2
247,"EMI","BIO","DR",2
248,"IOD","BIO","DR",2
249,"IOD","BIO","DR",2
250,"IOD","BIO","DR",2
251,"EMI","ESS","CV",2
252,"EMI","ESS","CV",3
253,"EMI","ESS","CV",2
254,"EMI","ESS","CV",2
255,"EMI","ESS","CV",3
256,"IOD","ESS","CV",1
257,"IOD","ESS","CV",2
258,"IOD","CHE","RS",2
259,"EMI","CHE","RS",2
260,"IOD","CHE","RS",2
261,"EMI","CHE","RS",2
262,"EMI","CHE","RS",2
263,"EMI","CHE","RS",2
264,"IOD","PHY","RS",2
265,"SIN","PHY","RS",2
266,"SIN","PHY","RS",2
267,"SIN","PHY","RS",2
268,"IOD","PHY","RS",2
269,"EMI","PHY","RS",2
270,"IOD","BIO","RS",2
271,"SIN","BIO","RS",2
272,"SIN","BIO","RS",2
273,"EMI","BIO","RS",3
274,"SIN","BIO","RS",1
275,"SIN","BIO","RS",2
276,"EMI","CHE","DR",3
277,"IOD","CHE","DR",2
278,"IOD","CHE","DR",2
279,"EMI","CHE","DR",2
280,"EMI","CHE","DR",3
281,"IOD","ESS","RS",2
282,"IOD","ESS","RS",1
283,"SIN","ESS","RS",2
284,"SIN","ESS","RS",2
285,"EMI","ESS","RS",2
286,"SIN","ESS","RS",2
287,"EMI","BIO","RS",2
288,"IOD","BIO","RS",2
289,"IOD","BIO","RS",2
290,"SIN","BIO","RS",2
291,"IOD","BIO","RS",2
292,"EMI","BIO","RS",2
293,"IOD","CHE","DR",2
294,"IOD","CHE","DR",2
295,"IOD","CHE","DR",1
296,"IOD","CHE","DR",2
297,"IOD","CHE","DR",2
298,"IOD","BIO","DR",2
299,"IOD","BIO","DR",2
300,"IOD","BIO","DR",2
301,"IOD","BIO","DR",2
302,"EMI","BIO","DR",3
303,"IOD","PHY","DR",1
304,"IOD","PHY","DR",2
305,"IOD","PHY","DR",2
306,"IOD","PHY","DR",2
307,"EMI","PHY","DR",2
308,"EMI","PHY","CV",2
309,"EMI","PHY","CV",3
310,"EMI","PHY","CV",3
311,"EMI","PHY","CV",2
312,"EMI","PHY","CV",2
