"ID","RC","Content.Area","Format","DOK"
281,"IOD","ESS","RS",2
282,"IOD","ESS","RS",1
283,"SIN","ESS","RS",2
284,"SIN","ESS","RS",2
285,"EMI","ESS","RS",2
286,"SIN","ESS","RS",2
287,"EMI","BIO","RS",2
288,"IOD","BIO","RS",2
289,"IOD","BIO","RS",2
290,"SIN","BIO","RS",2
291,"IOD","BIO","RS",2
292,"EMI","BIO","RS",2
293,"IOD","CHE","DR",2
294,"IOD","CHE","DR",2
295,"IOD","CHE","DR",1
296,"IOD","CHE","DR",2
297,"IOD","CHE","DR",2
298,"IOD","BIO","DR",2
299,"IOD","BIO","DR",2
300,"IOD","BIO","DR",2
301,"IOD","BIO","DR",2
302,"EMI","BIO","DR",3
303,"IOD","PHY","DR",1
304,"IOD","PHY","DR",2
305,"IOD","PHY","DR",2
306,"IOD","PHY","DR",2
307,"EMI","PHY","DR",2
308,"EMI","PHY","CV",2
309,"EMI","PHY","CV",3
310,"EMI","PHY","CV",3
311,"EMI","PHY","CV",2
312,"EMI","PHY","CV",2
313,"EMI","PHY","CV",3
314,"EMI","PHY","CV",2
315,"IOD","CHE","RS",1
316,"IOD","CHE","RS",2
317,"SIN","CHE","RS",2
318,"SIN","CHE","RS",2
319,"IOD","CHE","RS",2
320,"IOD","CHE","RS",2
321,"EMI","BIO","CV",1
322,"EMI","BIO","CV",2
323,"EMI","BIO","CV",2
324,"EMI","BIO","CV",2
325,"EMI","BIO","CV",2
326,"EMI","BIO","CV",2
327,"EMI","BIO","CV",2
328,"IOD","ESS","RS",2
329,"EMI","ESS","RS",2
330,"SIN","ESS","RS",1
331,"IOD","ESS","RS",2
332,"EMI","ESS","RS",2
333,"EMI","ESS","RS",2
334,"IOD","PHY","RS",1
335,"IOD","PHY","RS",2
336,"SIN","PHY","RS",2
337,"SIN","PHY","RS",2
338,"IOD","PHY","RS",2
339,"SIN","PHY","RS",2
340,"IOD","CHE","DR",2
341,"IOD","CHE","DR",2
342,"IOD","CHE","DR",2
343,"IOD","CHE","DR",2
344,"EMI","CHE","DR",2
345,"IOD","BIO","DR",1
346,"IOD","BIO","DR",2
347,"SIN","BIO","DR",2
348,"IOD","BIO","DR",2
349,"SIN","BIO","DR",2
350,"IOD","PHY","DR",2
351,"IOD","PHY","DR",2
352,"SIN","PHY","DR",2
353,"IOD","PHY","DR",2
354,"EMI","PHY","DR",2
355,"SIN","CHE","RS",2
356,"SIN","CHE","RS",2
357,"EMI","CHE","RS",3
358,"SIN","CHE","RS",2
359,"SIN","CHE","RS",2
360,"SIN","CHE","RS",3
361,"SIN","BIO","DR",3
362,"IOD","BIO","DR",2
363,"SIN","BIO","DR",1
364,"EMI","BIO","DR",2
365,"SIN","BIO","DR",2
366,"IOD","PHY","DR",2
367,"IOD","PHY","DR",2
368,"IOD","PHY","DR",2
369,"SIN","PHY","DR",2
370,"IOD","PHY","DR",3
371,"IOD","CHE","DR",2
372,"IOD","CHE","DR",2
373,"IOD","CHE","DR",2
374,"SIN","CHE","DR",2
375,"IOD","CHE","DR",3
376,"EMI","BIO","RS",2
377,"SIN","BIO","RS",2
378,"EMI","BIO","RS",2
379,"SIN","BIO","RS",2
380,"EMI","BIO","RS",2
381,"EMI","BIO","RS",3
382,"EMI","ESS","CV",1
383,"EMI","ESS","CV",2
384,"EMI","ESS","CV",2
385,"EMI","ESS","CV",2
386,"EMI","ESS","CV",2
387,"EMI","ESS","CV",3
388,"EMI","ESS","CV",3
389,"IOD","ESS","RS",1
390,"SIN","ESS","RS",2
391,"EMI","ESS","RS",2
392,"IOD","ESS","RS",2
393,"IOD","ESS","RS",3
394,"SIN","ESS","RS",2
395,"IOD","PHY","RS",2
396,"IOD","PHY","RS",1
397,"SIN","PHY","RS",2
398,"EMI","PHY","RS",2
399,"SIN","PHY","RS",2
400,"SIN","PHY","RS",2
401,"IOD","BIO","DR",2
402,"IOD","BIO","DR",3
403,"IOD","BIO","DR",2
404,"IOD","BIO","DR",2
405,"IOD","BIO","DR",1
406,"IOD","ESS","DR",1
407,"IOD","ESS","DR",2
408,"IOD","ESS","DR",2
409,"IOD","ESS","DR",2
410,"EMI","ESS","DR",3
411,"EMI","CHE","CV",2
412,"EMI","CHE","CV",2
413,"IOD","CHE","CV",2
414,"EMI","CHE","CV",2
415,"EMI","CHE","CV",2
416,"EMI","CHE","CV",2
417,"EMI","CHE","CV",2
418,"IOD","BIO","RS",2
419,"IOD","BIO","RS",2
420,"IOD","BIO","RS",2
421,"EMI","BIO","RS",2
422,"IOD","BIO","RS",3
423,"EMI","BIO","RS",2
424,"IOD","CHE","RS",2
425,"SIN","CHE","RS",2
426,"EMI","CHE","RS",2
427,"EMI","CHE","RS",2
428,"SIN","CHE","RS",2
429,"SIN","CHE","RS",2
430,"IOD","PHY","DR",2
431,"IOD","PHY","DR",2
432,"IOD","PHY","DR",2
433,"IOD","PHY","DR",3
434,"IOD","PHY","DR",2
435,"IOD","ESS","RS",2
436,"SIN","ESS","RS",2
437,"EMI","ESS","RS",3
438,"SIN","ESS","RS",2
439,"SIN","ESS","RS",2
440,"EMI","ESS","RS",2
441,"IOD","BIO","DR",1
442,"IOD","BIO","DR",2
443,"IOD","BIO","DR",2
444,"IOD","BIO","DR",2
445,"IOD","BIO","DR",2
446,"IOD","PHY","DR",2
447,"IOD","PHY","DR",2
448,"IOD","PHY","DR",2
449,"IOD","PHY","DR",3
450,"EMI","PHY","DR",3
451,"SIN","PHY","RS",2
452,"SIN","PHY","RS",2
453,"SIN","PHY","RS",2
454,"SIN","PHY","RS",2
455,"SIN","PHY","RS",3
456,"SIN","PHY","RS",2
457,"IOD","BIO","RS",2
458,"SIN","BIO","RS",2
459,"EMI","BIO","RS",3
460,"SIN","BIO","RS",1
461,"IOD","BIO","RS",3
462,"IOD","BIO","RS",1
463,"SIN","CHE","RS",1
464,"SIN","CHE","RS",2
465,"IOD","CHE","RS",2
