"STID","NITEM","CONTENT"
44743,7,1
44744,11,1
44745,12,1
44749,7,1
44751,9,1
44757,5,1
44760,11,1
44762,11,1
44765,11,2
44772,11,2
44774,11,1
44781,8,2
44786,11,1
44790,6,1
44806,8,1
44809,10,2
44812,11,1
44813,11,2
44815,9,1
44820,7,2
44824,8,2
44833,6,1
44836,6,1
44852,6,1
44866,9,1
44867,8,1
44887,11,1
44899,7,2
44904,5,1
44913,8,1
44915,7,2
44918,9,1
44922,11,1
44924,11,1
44926,12,2
44927,7,2
44934,7,2
44936,9,2
44944,6,2
44945,7,2
44946,5,2
44948,6,1
44950,9,1
44953,11,1
44954,5,1
44957,5,2
44959,8,2
44961,8,2
44963,9,2
44993,11,1
44994,7,1
45000,7,1
45002,8,1
45015,7,2
45020,7,2
45047,6,2
45082,11,2
45085,6,2
45088,8,2
45091,7,2
45274,8,2
45298,8,2
