CONSTRAINT,TYPE,WHAT,CONDITION,LB,UB,ONOFF
1,Number,Item,,12,12,
2,Number,Item,"SUBDOMAIN == ""Impact""",6,6,
3,Number,Item,"SUBDOMAIN == ""Experience""",6,6,
4,Number,Item,"SUBSUBDOMAIN == ""Mental""",1,2,
5,Number,Item,"SUBSUBDOMAIN == ""Social""",1,2,
6,Number,Item,"RATINGSCALE == ""Intensity""",6,6,
7,Number,Item,"RATINGSCALE == ""Frequency""",6,6,
8,Number,Item,STRATA == 1,4,4,
9,Number,Item,STRATA == 2,4,4,
10,Number,Item,STRATA == 3,4,4,
11,Number,Item,!is.na(FACIT),1,2,
12,Order,Item,STRATA,,,
13,Enemy,Item,"ID %in% c(""FATIMP1"", ""FATIMP47"")",,,
14,Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP6"")",,,
15,Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP11"")",,,
16,Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP14"")",,,
17,Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP30"")",,,
18,Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP35"")",,,
19,Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP38"")",,,
20,Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP43"")",,,
21,Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP44"")",,,
22,Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP52"")",,,
23,Enemy,Item,"ID %in% c(""FATIMP4"", ""FATIMP15"")",,,
24,Enemy,Item,"ID %in% c(""FATIMP4"", ""FATIMP18"")",,,
25,Enemy,Item,"ID %in% c(""FATIMP4"", ""FATIMP34"")",,,
26,Enemy,Item,"ID %in% c(""FATIMP4"", ""FATIMP48"")",,,
27,Enemy,Item,"ID %in% c(""FATIMP4"", ""FATIMP56"")",,,
28,Enemy,Item,"ID %in% c(""FATIMP4"", ""AN16"")",,,
29,Enemy,Item,"ID %in% c(""FATIMP5"", ""FATIMP33"")",,,
30,Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP11"")",,,
31,Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP14"")",,,
32,Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP17"")",,,
33,Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP20"")",,,
34,Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP22"")",,,
35,Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP30"")",,,
36,Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP35"")",,,
37,Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP38"")",,,
38,Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP44"")",,,
39,Enemy,Item,"ID %in% c(""FATIMP11"", ""FATIMP14"")",,,
40,Enemy,Item,"ID %in% c(""FATIMP11"", ""FATIMP20"")",,,
41,Enemy,Item,"ID %in% c(""FATIMP11"", ""FATIMP30"")",,,
42,Enemy,Item,"ID %in% c(""FATIMP11"", ""FATIMP44"")",,,
43,Enemy,Item,"ID %in% c(""FATIMP14"", ""FATIMP17"")",,,
44,Enemy,Item,"ID %in% c(""FATIMP14"", ""FATIMP22"")",,,
45,Enemy,Item,"ID %in% c(""FATIMP14"", ""FATIMP30"")",,,
