"ID","RC","Content.Area","Format","DOK"
1,"B","RD","DR",2
2,"A","RD","CV",2
3,"C","RD","RS",2
4,"B","RD","RS",2
5,"C","WRI","DR",2
6,"C","SPK","RS",2
7,"B","WRI","DR",2
8,"B","SPK","CV",2
9,"B","LIS","DR",2
10,"A","RD","CV",2
11,"B","WRI","DR",2
12,"A","RD","RS",3
13,"A","WRI","DR",2
14,"A","RD","CV",2
15,"A","WRI","CV",2
16,"A","WRI","DR",2
17,"B","RD","RS",2
18,"B","LIS","RS",2
19,"A","RD","CV",2
20,"A","WRI","CV",2
21,"A","WRI","RS",2
22,"C","RD","RS",2
23,"C","WRI","RS",2
24,"A","LIS","DR",2
25,"A","SPK","CV",2
26,"B","RD","DR",3
27,"B","WRI","DR",2
28,"B","RD","DR",2
29,"B","SPK","DR",2
30,"C","LIS","RS",2
31,"C","RD","RS",2
32,"B","RD","DR",1
33,"A","LIS","CV",2
34,"B","RD","RS",2
35,"C","LIS","RS",2
36,"B","WRI","RS",2
37,"A","RD","RS",2
38,"C","SPK","RS",2
39,"A","SPK","CV",2
40,"B","LIS","RS",1
41,"B","LIS","DR",2
42,"B","RD","RS",2
43,"C","RD","RS",2
44,"B","WRI","DR",3
45,"A","LIS","CV",2
46,"B","WRI","RS",2
47,"C","RD","RS",2
48,"A","RD","DR",2
49,"B","LIS","DR",2
50,"B","SPK","RS",2
51,"A","WRI","RS",2
52,"B","LIS","DR",2
53,"A","RD","CV",2
54,"A","WRI","DR",2
55,"B","RD","RS",2
56,"C","SPK","RS",3
57,"B","RD","DR",3
58,"A","RD","RS",2
59,"B","RD","DR",2
60,"B","WRI","DR",2
61,"A","WRI","CV",2
62,"A","SPK","CV",1
63,"A","RD","CV",3
64,"A","RD","DR",3
65,"C","WRI","RS",2
66,"A","RD","DR",2
67,"B","RD","DR",2
68,"A","WRI","RS",2
69,"A","RD","CV",3
70,"B","RD","RS",2
71,"A","SPK","DR",2
72,"A","SPK","CV",2
73,"B","RD","DR",2
74,"B","RD","DR",2
75,"A","WRI","RS",2
76,"C","RD","RS",2
77,"B","WRI","DR",2
78,"C","SPK","RS",2
79,"C","SPK","RS",2
80,"B","LIS","DR",1
81,"A","LIS","RS",2
82,"B","SPK","RS",3
83,"B","SPK","RS",2
84,"B","SPK","DR",2
85,"B","RD","DR",2
86,"C","LIS","RS",2
87,"B","WRI","RS",3
88,"A","SPK","RS",1
89,"C","SPK","RS",2
90,"B","LIS","DR",2
91,"B","RD","RS",2
92,"C","LIS","RS",2
93,"A","LIS","CV",2
94,"B","WRI","DR",2
95,"A","SPK","DR",2
96,"B","LIS","DR",2
97,"C","RD","RS",2
98,"B","SPK","DR",2
99,"B","RD","RS",2
100,"B","RD","DR",2
101,"B","WRI","DR",2
102,"A","LIS","DR",3
103,"C","SPK","RS",2
104,"B","WRI","DR",1
105,"B","RD","DR",2
106,"C","LIS","RS",2
107,"B","WRI","DR",1
108,"C","LIS","RS",2
109,"C","SPK","RS",2
110,"C","WRI","RS",2
111,"B","LIS","DR",2
112,"B","WRI","DR",1
113,"B","LIS","DR",2
114,"B","SPK","DR",2
115,"C","SPK","RS",2
116,"A","WRI","DR",2
117,"A","LIS","CV",2
118,"A","RD","CV",1
119,"B","SPK","DR",2
120,"C","WRI","RS",2
121,"C","LIS","RS",2
122,"C","SPK","RS",2
123,"A","WRI","CV",2
124,"B","RD","RS",2
125,"B","SPK","RS",2
126,"B","WRI","DR",2
127,"C","WRI","RS",2
