"V1","V2","V3","V4","V5"
1,"3PL",0.107144136607357,0.119748282154282,0.0382717278731847
2,"3PL",0.0697932242897597,0.151318006540283,0.0524658165249762
3,"3PL",0.101515392465914,0.20478343080773,0.0645412211289536
4,"3PL",0.101378976122146,0.118113633807446,0.0444825504691289
5,"3PL",0.111662559598408,0.0760146212795158,0.0281226399070658
6,"3PL",0.0839634728314534,0.123992262911164,0.036734851429461
7,"3PL",0.221997945171469,0.0639224032251444,0.0140689436016586
8,"3PL",0.0871337492821684,0.374179309128928,0.0858733687191028
9,"3PL",0.105823973998549,0.102312414524913,0.0364072175701777
10,"3PL",0.162203056770702,0.0937182194486458,0.0275668158137221
11,"3PL",0.132027452439373,0.0746918631326661,0.0251049827239481
12,"3PL",0.153451053780984,0.08288669663247,0.0284288573089885
13,"3PL",0.633000130483358,0.211543549811221,0.00854554496959061
14,"3PL",0.307153426390669,0.21736948719088,0.0135376070221737
15,"3PL",0.11433637931781,0.168907668707079,0.0531564490260032
16,"3PL",0.265005577614419,0.0920221903779125,0.017105782704406
17,"3PL",0.107007146859497,0.121155477517751,0.0438642711156886
18,"3PL",0.164165101268478,0.169208830976116,0.0358891097824448
19,"3PL",0.0704377842469541,0.212359990339348,0.0468019201900112
20,"3PL",0.245127040513333,0.100307125154614,0.0162922729583108
21,"3PL",0.111763420133318,0.069255260292738,0.027135949464397
22,"3PL",0.0740540064214816,0.0981542487748777,0.0414907559005404
23,"3PL",0.162350406467033,0.0865896038304109,0.0262160255858582
24,"3PL",0.140516183783313,0.0585912610638495,0.0177468206439912
25,"3PL",0.0977768255565215,0.186452551798993,0.0668590490345377
26,"3PL",0.0912011774574873,0.103250046258935,0.0447719140929789
27,"3PL",0.14654205515232,0.0977962265407979,0.0394396411048542
28,"3PL",0.0799915750108333,0.173118942599092,0.0570113210418597
29,"3PL",0.159004004032391,0.0803953121187773,0.0222812942393362
30,"3PL",0.128615767939636,0.213909553027046,0.0483118961864293
31,"3PL",0.0980132401663579,0.118673852590352,0.0423980023609856
32,"3PL",0.0844096410558023,0.0934282440300961,0.0322090980578987
33,"3PL",0.0501240174892587,0.432415497036214,0.0765894873770208
34,"3PL",0.0453980300337789,0.974891970170951,0.0928703923337103
35,"3PL",0.146500141264178,0.0539312477463856,0.0223883659710707
36,"3PL",0.267228722513017,0.0974535849816282,0.0138863880533597
37,"3PL",0.141245342398086,0.15959270438122,0.0458731594106425
38,"3PL",0.097673374168787,0.155812160095721,0.0808642049735966
39,"3PL",0.147460507642944,0.101252673263808,0.0301428618244198
40,"3PL",0.0762932508861457,0.297718896200854,0.0725276776917854
41,"3PL",0.187918643998045,0.104469856840174,0.0151995302870101
42,"3PL",0.0651378757248615,0.153444729481198,0.0474099710908686
43,"3PL",0.0917582615478602,0.0948552860609223,0.0470373371151369
44,"3PL",0.10703593292258,0.0873837733572722,0.0305436494278139
45,"3PL",0.181662740117561,0.073737727768952,0.0165390497321151
46,"3PL",0.107699755517367,0.2909324398994,0.0707240197920122
47,"3PL",0.101851257220473,0.081940527563361,0.0328836637908351
48,"3PL",0.2277305118358,0.100800101579386,0.0109518195755687
49,"3PL",0.330707343574154,0.0877943202520786,0.0112800298544765
50,"3PL",0.0606233929074942,0.435165426910359,0.094972822310081
51,"3PL",0.0810783544168246,0.318171965337886,0.0666352311563501
52,"3PL",0.165401679147211,0.102387000229621,0.0178488481224552
53,"3PL",0.120682570404987,0.194580723403792,0.0604163806827273
54,"3PL",0.0624703476362514,0.335681435389361,0.0776592461991711
55,"3PL",0.143372298119819,0.113283848764449,0.0427254492669685
56,"3PL",0.168801064471047,0.146263523464627,0.0509555521803228
57,"3PL",0.12311626451219,0.211063502076475,0.0752784532826033
58,"3PL",0.137294201293412,0.091669959644258,0.0275996350153349
59,"3PL",0.166618960446932,0.058890936565174,0.0191602296244847
60,"3PL",0.144325635370985,0.0703476914198543,0.0274656075324661
61,"3PL",0.0942634191258723,0.142624274628863,0.047167398678439
62,"3PL",0.0585575832844287,0.0917577915521264,0.0399179609052655
63,"3PL",0.206639725126107,0.0507794773861417,0.0172324929893366
64,"3PL",0.11657805954568,0.240471296260336,0.0593911200630013
65,"3PL",0.128089256670429,0.0620658451160307,0.0236516281051072
66,"3PL",0.177516095303984,0.0588465407313472,0.0162676566920914
67,"3PL",0.511565579800995,0.0948687476279447,0.0108496121459401
68,"3PL",0.0863185132137215,0.149762378252692,0.0724524930879953
69,"3PL",0.0573062902146271,0.355458362951563,0.0670247147084309
70,"3PL",0.124115216171343,0.0621235763331726,0.0219522498691676
71,"3PL",0.114974921291748,0.153291707869268,0.0454383672005027
72,"3PL",0.22149621586535,0.0781614928636604,0.0282100641053915
73,"3PL",0.0812297010056037,0.279886598723508,0.0905432121805788
74,"3PL",0.0737150762908018,0.105493392371686,0.0365972592394911
75,"3PL",0.141689841545488,0.396830191600881,0.0444344848502078
76,"3PL",0.210595912053281,0.0733185152636035,0.032634693467346
77,"3PL",0.0773116919193843,0.13414152451722,0.0446840783523954
78,"3PL",0.130715606717671,0.109465379739034,0.041503480550996
79,"3PL",0.154600495745518,0.103530114881349,0.0372476738177631
80,"3PL",0.062457983843267,0.144119836718871,0.0543789825941334
81,"3PL",0.102573729039193,0.124807993588112,0.0470231895622937
82,"3PL",0.0511657635434708,0.314883315466516,0.0786606503233172
83,"3PL",0.055147481229406,0.17732262854902,0.0667706682529037
84,"3PL",0.0656119646454572,0.156306249079091,0.0718941454595143
85,"3PL",0.101045532471635,0.126500516508175,0.0426024467976771
86,"3PL",0.25917049731804,0.407622714965099,0.0174577875011419
87,"3PL",0.168959198734011,0.0606093047032636,0.0202272783382116
88,"3PL",0.153904596167337,0.106369113485769,0.0285585098049855
89,"3PL",0.127910279894451,0.0711437972551244,0.0261470106015131
90,"3PL",0.171613490952464,0.0541590201825243,0.0163555887905604
91,"3PL",0.109907251216612,0.160878122934502,0.0612464525370626
92,"3PL",0.131059989082566,0.103793183695033,0.0389680323860748
93,"3PL",0.15213248646455,0.100681333892343,0.0327102276523337
94,"3PL",0.107186814148658,0.22209625516042,0.0729184270098228
95,"3PL",0.131206961408668,0.0758925163635761,0.0273587445876966
96,"3PL",0.0980850275564962,0.077722019227691,0.0336114467847429
97,"3PL",0.145519376810899,0.13414254291271,0.0408319236971969
98,"3PL",0.121495363994578,0.121583714822656,0.0350904589994636
99,"3PL",0.48192957962298,0.0834831492191276,0.0101060321692517
100,"3PL",0.192096173529129,0.143694088616691,0.0277153627773486
101,"3PL",0.0833719016139075,0.235401048265956,0.0665481174794182
102,"3PL",0.110210381013053,0.123042370537489,0.0397425782604003
103,"3PL",0.0653123519259162,0.162334082527101,0.0661558867415416
104,"3PL",0.154020620580604,0.116457502305564,0.0375388001353168
105,"3PL",0.210752056837268,0.115029569034217,0.0158053250437696
106,"3PL",0.0701779479707452,0.156695008108304,0.0599325168305039
107,"3PL",0.0527960659709175,0.207077433256747,0.0688689666453402
108,"3PL",0.319439447530811,0.0739850054323263,0.0133970693508955
109,"3PL",0.103975902922444,0.126539990935825,0.0426534824081557
110,"3PL",0.0693443283255295,0.156645998584399,0.0494422998312777
111,"3PL",0.120492766261528,0.131591132037829,0.0385794262931973
112,"3PL",0.0888086981183475,0.135782089927526,0.0551663874925785
113,"3PL",0.13098050290259,0.0935435603062701,0.0341594065188179
114,"3PL",0.180008075122873,0.118146939126812,0.0143529095899966
115,"3PL",0.209300442300312,0.104230001765207,0.0182696538095472
116,"3PL",0.32167601368219,0.0891850355463941,0.0119439493361639
117,"3PL",0.110901516104272,0.225576957868558,0.0577077126528388
118,"3PL",0.129455396291193,0.0767670584996631,0.0280398940556049
119,"3PL",0.200522628380272,0.0676470073439586,0.0140523970011068
120,"3PL",0.110854013824668,0.0717871845739076,0.030805051716174
121,"3PL",0.148849332062425,0.100805941768114,0.0409405753429988
122,"3PL",0.115358709180796,0.105442822063181,0.035062857208763
123,"3PL",0.0637068436914692,0.231640673058315,0.0667953113763011
124,"3PL",0.27086319165341,0.0715774251500743,0.0129593241615852
125,"3PL",0.0568734332668092,0.402146158194651,0.0747065737618478
126,"3PL",0.190448296615717,0.0824582119415677,0.0246906568517012
127,"3PL",0.129650375152086,0.0862591023368375,0.0283754214191139
128,"3PL",0.285744307465864,0.0513998794827657,0.0120444769764915
129,"3PL",0.275521194339754,0.0864455135574704,0.0154001619709132
130,"3PL",0.0576486556119638,0.370036627225075,0.0898889729485363
131,"3PL",0.233020434567517,0.0608244332414807,0.01837670866179
132,"3PL",0.10740491662059,0.180363304727187,0.063081684012048
133,"3PL",0.119710674760646,0.166924977473796,0.0470809361575777
134,"3PL",0.0800982555791527,0.246116909945511,0.0884070192024282
135,"3PL",0.0628347158089644,0.147035108733829,0.0539287756157136
136,"3PL",0.13899804571875,0.0629339864112614,0.0241410192032345
137,"3PL",0.10857855084811,0.0608932105170004,0.0218389156255797
138,"3PL",0.130543399208815,0.149970450290021,0.0557000378337097
139,"3PL",0.0934370201839846,0.0902206903991662,0.0429670803581295
140,"3PL",0.0766028761747249,0.187627860228931,0.064115095693592
141,"3PL",0.0711749554782934,0.282744904303097,0.0910244022724591
142,"3PL",0.113910924964362,0.139619376064074,0.0485961871902554
143,"3PL",0.208861699998766,0.122854734318286,0.024409847644167
144,"3PL",0.143647699925119,0.0593639543125266,0.0200421297206695
145,"3PL",0.132875761743869,0.13298360389849,0.0507358951402511
146,"3PL",0.148376607009128,0.100607409898366,0.0263966143629104
147,"3PL",0.109036292201212,0.220761697418558,0.0522697251960821
148,"3PL",0.0783995440641984,0.106411643207719,0.0451402494797129
149,"3PL",0.127982476056005,0.105076219633803,0.0411282231207592
150,"3PL",0.101928985762974,0.202246935473191,0.071844299461528
151,"3PL",0.0809433220175074,0.156604165629961,0.0427621855120345
152,"3PL",0.109990156147078,0.14074281174774,0.0482051773831472
153,"3PL",0.114295251866298,0.16715532219269,0.0570425796448931
154,"3PL",0.0937518507433313,0.316259396851181,0.0707667858947273
155,"3PL",0.10279792609705,0.0622776947089864,0.0264293501063744
156,"3PL",0.158874182479006,0.0845841510275695,0.0145175326050133
157,"3PL",0.0496517404219991,0.268783031452394,0.0609209250009037
158,"3PL",0.20362714211562,0.161276021508869,0.0247120258995183
