ID,MODEL,PAR1,PAR2,PAR3,PAR4,PAR5
FATIMP1,GR,4.07651,-0.55651,0.3793,1.008,1.93832
FATIMP2,GR,2.86203,-0.04777,0.84499,1.57024,2.42875
FATIMP3,GR,4.77251,-0.63293,0.12576,1.03892,1.94152
FATIMP4,GR,3.71365,-0.26603,0.51586,1.32002,2.18424
FATIMP5,GR,3.51903,-0.53123,0.30643,1.24302,2.1271
FATIMP6,GR,2.97303,-0.33464,0.55981,1.52396,2.4336
FATIMP8,GR,1.69742,-0.07519,1.00172,2.23759,3.66725
FATIMP9,GR,3.48196,-0.03971,0.70318,1.46574,2.40863
FATIMP10,GR,3.71355,-0.40114,0.37234,1.24351,2.32189
FATIMP11,GR,2.70549,-0.30947,0.58847,1.58037,2.69186
FATIMP13,GR,3.50878,-0.36883,0.44492,1.33144,2.46362
FATIMP14,GR,3.17467,-0.21002,0.64424,1.57374,2.60204
FATIMP15,GR,3.56379,-0.4385,0.36939,1.1899,2.02143
FATIMP16,GR,3.86264,-0.38532,0.45599,1.33118,2.23816
FATIMP17,GR,3.25917,-0.13029,0.77565,1.70173,2.73127
FATIMP18,GR,3.52595,-0.22402,0.59478,1.37561,2.26899
FATIMP19,GR,3.41109,-0.51236,0.29928,1.14891,2.20274
FATIMP20,GR,3.32523,-0.64062,0.2992,1.29392,2.21973
FATIMP21,GR,2.11414,0.38245,1.13467,2.0812,3.31364
FATIMP22,GR,3.12672,-0.23964,0.64931,1.60267,2.61495
FATIMP24,GR,3.8138,-0.50233,0.32787,1.23859,2.34051
FATIMP25,GR,2.84088,0.20239,1.16262,2.21351,2.91848
FATIMP26,GR,3.10719,-0.02323,0.79684,1.74143,2.59238
FATIMP27,GR,3.82112,-0.33119,0.59696,1.30392,2.19687
FATIMP28,GR,2.8066,0.51987,1.37398,2.19309,2.93232
FATIMP29,GR,3.08762,-0.04519,0.69721,1.55377,2.60285
FATIMP30,GR,2.96527,-0.10654,0.8185,1.81634,3.05049
FATIMP33,GR,3.09254,-0.54321,0.32586,1.35442,2.32358
FATIMP34,GR,3.28678,0.00659,0.76339,1.44417,2.24635
FATIMP35,GR,3.09139,0.05665,0.85429,1.57832,2.42159
FATIMP36,GR,3.67666,-0.26827,0.55168,1.19407,1.95131
FATIMP37,GR,3.78862,-0.28972,0.55334,1.27052,1.90908
FATIMP38,GR,2.81432,0.18349,0.93838,1.71548,2.41721
FATIMP40,GR,1.17441,-2.48172,-0.84093,0.33591,1.49217
