"","STID","NITEM","CONTENT"
"1",1001,7,1
"2",1002,11,1
"3",1003,12,1
"4",1004,7,1
"5",1005,9,1
"6",1006,5,1
"7",1007,11,1
"8",1008,11,1
"9",1009,11,2
"10",1010,11,2
"11",1011,11,1
"12",1012,8,2
"13",1013,11,1
"14",1014,6,1
"15",1015,8,1
"16",1016,10,2
"17",1017,11,1
"18",1018,11,2
"19",1019,9,1
"20",1020,7,2
"21",1021,8,2
"22",1022,6,1
"23",1023,6,1
"24",1024,6,1
"25",1025,9,1
"26",1026,8,1
"27",1027,11,1
"28",1028,7,2
"29",1029,5,1
"30",1030,8,1
"31",1031,7,2
"32",1032,9,1
"33",1033,11,1
"34",1034,11,1
"35",1035,12,2
"36",1036,7,2
"37",1037,7,2
"38",1038,9,2
"39",1039,6,2
"40",1040,7,2
"41",1041,5,2
"42",1042,6,1
"43",1043,9,1
"44",1044,11,1
"45",1045,5,1
"46",1046,5,2
"47",1047,8,2
"48",1048,8,2
"49",1049,9,2
"50",1050,11,1
"51",1051,7,1
"52",1052,7,1
"53",1053,8,1
"54",1054,7,2
"55",1055,7,2
"56",1056,6,2
"57",1057,11,2
"58",1058,6,2
"59",1059,8,2
"60",1060,7,2
"61",1061,8,2
"62",1062,8,2
