"STID","NITEM","CONTENT"
1001,7,1
1002,11,1
1003,12,1
1004,7,1
1005,9,1
1006,5,1
1007,11,1
1008,11,1
1009,11,2
1010,11,2
1011,11,1
1012,8,2
1013,11,1
1014,6,1
1015,8,1
1016,10,2
1017,11,1
1018,11,2
1019,9,1
1020,7,2
1021,8,2
1022,6,1
1023,6,1
1024,6,1
1025,9,1
1026,8,1
1027,11,1
1028,7,2
1029,5,1
1030,8,1
1031,7,2
1032,9,1
1033,11,1
1034,11,1
1035,12,2
1036,7,2
1037,7,2
1038,9,2
1039,6,2
1040,7,2
1041,5,2
1042,6,1
1043,9,1
1044,11,1
1045,5,1
1046,5,2
1047,8,2
1048,8,2
1049,9,2
1050,11,1
1051,7,1
1052,7,1
1053,8,1
1054,7,2
1055,7,2
1056,6,2
1057,11,2
1058,6,2
1059,8,2
1060,7,2
1061,8,2
1062,8,2
