CONSTRAINT_ID,TYPE,WHAT,CONDITION,LB,UB,ONOFF
"C1",Number,Item,,30,30,
"C2",Sum,Item,WORDS,500,600,OFF
"C3",Sum,Item,"WORDS, DOK == 1",50,80,OFF
"C4",Number,Item,"RC == ""EMI""",7,11,
"C5",Number,Item,"RC == ""IOD""",13,17,
"C6",Number,Item,"RC == ""SIN""",6,9,
"C7",Number,Item,"CONTENT.AREA == ""BIO""",6,9,
"C8",Number,Item,"CONTENT.AREA == ""CHE""",6,9,
"C9",Number,Item,"CONTENT.AREA == ""ESS""",6,9,
"C10",Number,Item,"CONTENT.AREA == ""PHY""",6,9,
"C11",Number,Item,"FORMAT == ""CV""",4,6,
"C12",Number,Item,"FORMAT == ""DR""",9,12,
"C13",Number,Item,"FORMAT == ""RS""",13,17,
"C14",Number,Item,DOK == 1,1,5,
"C15",Number,Item,DOK == 2,19,26,
"C16",Number,Item,DOK == 3,3,8,
