CONSTRAINT_ID,TYPE,WHAT,CONDITION,LB,UB,ONOFF
"C1",Number,Item,,12,12,
"C2",Number,Item,"SUBDOMAIN == ""Impact""",6,6,
"C3",Number,Item,"SUBDOMAIN == ""Experience""",6,6,
"C4",Number,Item,"SUBSUBDOMAIN == ""Mental""",1,2,
"C5",Number,Item,"SUBSUBDOMAIN == ""Social""",1,2,
"C6",Number,Item,"RATINGSCALE == ""Intensity""",6,6,
"C7",Number,Item,"RATINGSCALE == ""Frequency""",6,6,
"C8",Number,Item,STRATA == 1,4,4,
"C9",Number,Item,STRATA == 2,4,4,
"C10",Number,Item,STRATA == 3,4,4,
"C11",Number,Item,!is.na(FACIT),1,2,
"C12",Order,Item,STRATA,,,
"C13",Enemy,Item,"ID %in% c(""FATIMP1"", ""FATIMP47"")",,,
"C14",Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP6"")",,,
"C15",Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP11"")",,,
"C16",Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP14"")",,,
"C17",Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP30"")",,,
"C18",Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP35"")",,,
"C19",Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP38"")",,,
"C20",Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP43"")",,,
"C21",Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP44"")",,,
"C22",Enemy,Item,"ID %in% c(""FATIMP2"", ""FATIMP52"")",,,
"C23",Enemy,Item,"ID %in% c(""FATIMP4"", ""FATIMP15"")",,,
"C24",Enemy,Item,"ID %in% c(""FATIMP4"", ""FATIMP18"")",,,
"C25",Enemy,Item,"ID %in% c(""FATIMP4"", ""FATIMP34"")",,,
"C26",Enemy,Item,"ID %in% c(""FATIMP4"", ""FATIMP48"")",,,
"C27",Enemy,Item,"ID %in% c(""FATIMP4"", ""FATIMP56"")",,,
"C28",Enemy,Item,"ID %in% c(""FATIMP4"", ""AN16"")",,,
"C29",Enemy,Item,"ID %in% c(""FATIMP5"", ""FATIMP33"")",,,
"C30",Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP11"")",,,
"C31",Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP14"")",,,
"C32",Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP17"")",,,
"C33",Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP20"")",,,
"C34",Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP22"")",,,
"C35",Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP30"")",,,
"C36",Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP35"")",,,
"C37",Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP38"")",,,
"C38",Enemy,Item,"ID %in% c(""FATIMP6"", ""FATIMP44"")",,,
"C39",Enemy,Item,"ID %in% c(""FATIMP11"", ""FATIMP14"")",,,
"C40",Enemy,Item,"ID %in% c(""FATIMP11"", ""FATIMP20"")",,,
"C41",Enemy,Item,"ID %in% c(""FATIMP11"", ""FATIMP30"")",,,
"C42",Enemy,Item,"ID %in% c(""FATIMP11"", ""FATIMP44"")",,,
"C43",Enemy,Item,"ID %in% c(""FATIMP14"", ""FATIMP17"")",,,
"C44",Enemy,Item,"ID %in% c(""FATIMP14"", ""FATIMP22"")",,,
"C45",Enemy,Item,"ID %in% c(""FATIMP14"", ""FATIMP30"")",,,
"C46",Enemy,Item,"ID %in% c(""FATIMP14"", ""FATIMP35"")",,,
"C47",Enemy,Item,"ID %in% c(""FATIMP14"", ""FATIMP43"")",,,
"C48",Enemy,Item,"ID %in% c(""FATIMP15"", ""FATIMP45"")",,,
"C49",Enemy,Item,"ID %in% c(""FATIMP17"", ""FATIMP22"")",,,
"C50",Enemy,Item,"ID %in% c(""FATIMP17"", ""FATIMP30"")",,,
"C51",Enemy,Item,"ID %in% c(""FATIMP17"", ""FATIMP35"")",,,
"C52",Enemy,Item,"ID %in% c(""FATIMP17"", ""FATIMP38"")",,,
"C53",Enemy,Item,"ID %in% c(""FATIMP18"", ""FATIMP34"")",,,
"C54",Enemy,Item,"ID %in% c(""FATIMP18"", ""FATIMP48"")",,,
"C55",Enemy,Item,"ID %in% c(""FATIMP18"", ""FATIMP56"")",,,
