CONSTRAINT_ID,TYPE,WHAT,CONDITION,LB,UB,ONOFF
"C1",Number,Item,,30,30,
"C2",Number,Stimulus,,6,6,
"C3",Number,Item,Per Stimulus,4,6,
"C4",Number,Item,CONTENT == 1,15,15,
"C5",Number,Item,CONTENT == 2,15,15,
"C6",Number,Item,SUBCONTENT,1,3,
"C7",Number,Item,"SUBCONTENT %in% c(1, 8)",3,5,
"C8",Number,Item,"SUBCONTENT %in% c(2, 9)",3,5,
"C9",Number,Item,"SUBCONTENT %in% c(3, 10)",3,5,
"C10",Number,Item,"SUBCONTENT %in% c(4, 11)",3,5,
"C11",Number,Item,"SUBCONTENT %in% c(5, 12)",3,5,
"C12",Number,Item,"SUBCONTENT %in% c(6, 13)",3,5,
"C13",Number,Item,"SUBCONTENT %in% c(7, 14)",3,5,
"C14",Number,Item,"TYPE == ""CR"" & CONTENT == 1",1,1,
"C15",Number,Item,"TYPE == ""CR"" & CONTENT == 2",1,1,
"C16",Number,Item,"TYPE == ""MC""",28,28,
"C17",Number,Item,DOK >= 2,15,30,
"C18",Order,Passage,CONTENT,,,OFF
