CONSTRAINT_ID,TYPE,WHAT,CONDITION,LB,UB,ONOFF
"C1",Number,Item,,30,30,
"C2",Number,Item,LEVEL == 3,10,10,
"C3",Number,Item,LEVEL == 4,10,10,
"C4",Number,Item,LEVEL == 5,10,10,
"C5",Number,Item,STANDARD == 1,17,20,
"C6",Number,Item,"STANDARD %in% c(2, 4)",6,8,
"C7",Number,Item,STANDARD == 3,2,4,
"C8",Number,Item,"OBJECTIVE == ""1A""",2,3,
"C9",Number,Item,"OBJECTIVE %in% c(""1B"", ""1C"", ""1I"", ""1G"")",5,6,
"C10",Number,Item,"OBJECTIVE %in% c(""1D"", ""1F"")",5,6,
"C11",Number,Item,"OBJECTIVE %in% c(""1E"", ""1J"", ""1K"")",3,4,
"C12",Number,Item,"OBJECTIVE == ""1H""",1,1,
"C13",Number,Item,"OBJECTIVE == ""2A""",2,2,
"C14",Number,Item,"OBJECTIVE %in% c(""2B"", ""2C"", ""2D"")",1,1,
"C15",Number,Item,"OBJECTIVE %in% c(""4A"", ""4D"")",1,1,
"C16",Number,Item,"OBJECTIVE %in% c(""4B"", ""4E"")",1,1,
"C17",Number,Item,"OBJECTIVE %in% c(""4C"", ""4F"")",1,1,
"C18",Number,Item,"OBJECTIVE %in% c(""3A"", ""3D"")",3,3,
"C19",Number,Item,"OBJECTIVE %in% c(""3B"", ""3E"")",2,3,
"C20",Number,Item,"OBJECTIVE %in% c(""3C"", ""3F"")",0,3,
"C21",Number,Item,STANDARD == 1 & DOK >= 2,7,30,
"C22",Number,Item,"STANDARD %in% c(2, 4) & DOK >= 3",2,30,
"C23",Number,Item,STANDARD == 3 & DOK >= 3,2,30,
"C24",Number,Item,"TYPE == ""DRAG""",2,4,
"C25",Number,Item,"TYPE == ""EQTN""",12,15,
"C26",Number,Item,"TYPE == ""FILL""",1,2,
"C27",Number,Item,"TYPE == ""GRAPH""",1,3,
"C28",Number,Item,"TYPE == ""HOTS""",1,3,
"C29",Number,Item,"TYPE == ""MATCH""",2,4,
"C30",Number,Item,"TYPE == ""SRMU""",1,2,
"C31",Number,Item,"TYPE == ""SRSI""",5,8,
"C32",Order,Item,LEVEL,,,
"C33",Enemy,Item,"ID %in% c(""SC00001"", ""SC00002"")",,,
"C34",Include,Item,"ID %in% c(""SC00003"", ""SC00004"")",,,
"C35",Exclude,Item,PTBIS < 0.15,,,
"C36",AllOrNone,Item,"ID %in% c(""SC00005"", ""SC00006"")",,,
