ID,MODEL,PAR1,PAR2,PAR3
1,"3PL",0.68969,-1.79901,0.25464
2,"3PL",0.561527,-3.79792,0.25944
3,"3PL",0.678198,-0.9196,0.19658
4,"3PL",1.046027,-0.66988,0.17662
5,"3PL",0.852142,-0.57913,0.2715
6,"3PL",0.910282,-0.90542,0.23884
7,"3PL",1.04227,-0.71519,0.28127
8,"3PL",1.565853,-0.87553,0.23831
9,"3PL",1.417817,-0.74911,0.23197
10,"3PL",1.311873,-0.44855,0.16058
11,"3PL",1.178423,0.00974,0.27351
12,"3PL",1.108264,-1.91507,0.21105
13,"3PL",0.806157,-1.33965,0.22272
14,"3PL",1.528657,-0.98712,0.17047
15,"3PL",1.226431,-1.03738,0.14644
16,"3PL",1.248769,-0.73328,0.17251
17,"3PL",0.928999,1.31126,0.12765
18,"3PL",0.657798,-1.83162,0.22712
19,"3PL",0.899334,-0.49484,0.23238
20,"3PL",1.423444,-0.23682,0.18461
21,"3PL",1.190153,-0.39487,0.19594
22,"3PL",0.612884,0.01138,0.21204
23,"3PL",0.943619,0.127,0.27359
24,"3PL",1.008355,1.06775,0.16214
25,"3PL",0.630972,0.61534,0.18582
26,"3PL",0.852261,-0.14182,0.22834
27,"3PL",1.549856,1.01747,0.19261
28,"3PL",1.456424,1.00722,0.32238
29,"3PL",1.316463,2.04868,0.1578
30,"3PL",1.36527,1.34352,0.1322
31,"3PL",0.877421,0.04188,0.27574
32,"3PL",1.077664,0.73164,0.32725
33,"3PL",1.099305,1.31244,0.19839
34,"3PL",1.280457,0.95127,0.24188
35,"3PL",1.326816,1.28155,0.15358
36,"3PL",0.97495,2.061,0.43109
37,"3PL",0.853485,1.5808,0.18446
38,"3PL",1.462051,1.89864,0.25681
39,"3PL",1.340637,2.1547,0.2079
40,"3PL",1.474257,2.33353,0.22953
41,"3PL",1.233486,-1.7193,0.18267
42,"3PL",1.347896,-1.90566,0.21374
43,"3PL",1.353914,-1.19615,0.16206
44,"3PL",0.958001,-0.53061,0.28362
45,"3PL",1.032954,0.15873,0.21054
46,"3PL",1.225649,1.07985,0.21284
47,"3PL",0.778617,-2.00409,0.25169
48,"3PL",0.912883,-1.13011,0.23907
49,"3PL",0.472345,-1.75466,0.20388
50,"3PL",1.059236,0.41581,0.24423
51,"3PL",1.720451,0.03909,0.18953
52,"3PL",0.986153,1.13265,0.20416
53,"3PL",1.141125,-2.23882,0.15618
54,"3PL",1.683374,-1.87404,0.16467
55,"3PL",0.348789,-0.90783,0.25191
56,"3PL",0.993089,0.57242,0.21739
57,"3PL",1.663467,0.63108,0.24947
58,"3PL",1.335724,1.75722,0.34746
59,"3PL",1.494028,-0.37638,0.3213
60,"3PL",1.232704,0.11297,0.3273
61,"3PL",1.464737,-0.32329,0.1632
62,"3PL",1.943678,0.11978,0.31133
63,"3PL",1.185614,0.38537,0.11507
64,"3PL",1.349086,-0.96859,0.1528
65,"3PL",1.562606,-1.67085,0.18899
66,"3PL",1.4501,-0.6935,0.08842
67,"3PL",1.400953,-1.23554,0.19014
68,"3PL",1.235033,1.08686,0.20233
69,"3PL",1.512235,0.89623,0.32772
70,"3PL",1.20734,0.39492,0.21461
71,"3PL",2.13486,1.21628,0.32724
72,"3PL",2.251412,1.478,0.34522
73,"3PL",1.542036,1.49666,0.34548
74,"3PL",2.139535,1.71594,0.26017
75,"3PL",2.184789,2.20772,0.15228
76,"3PL",1.122068,0.51639,0.2315
77,"3PL",1.38346,0.9682,0.35548
78,"3PL",1.77072,0.92286,0.30517
79,"3PL",2.029749,1.18553,0.24168
80,"3PL",1.55023,1.61204,0.23927
81,"3PL",1.187705,-1.12226,0.23086
82,"3PL",1.251489,-1.05748,0.17107
83,"3PL",1.558832,-0.70011,0.15524
84,"3PL",0.754256,-0.80092,0.16269
85,"3PL",1.475872,0.19649,0.24403
86,"3PL",1.285863,-1.89794,0.19345
87,"3PL",0.713541,-1.8569,0.21503
88,"3PL",0.685729,0.64999,0.30021
89,"3PL",1.249483,-0.49891,0.1763
90,"3PL",0.800411,-0.62267,0.17006
91,"3PL",1.184407,-0.57656,0.12904
92,"3PL",0.570843,-1.56966,0.19746
93,"3PL",1.116322,-0.74776,0.20531
94,"3PL",1.122357,-0.70543,0.23848
95,"3PL",1.288719,0.06576,0.24102
96,"3PL",1.985277,0.56979,0.3073
97,"3PL",1.393541,1.71803,0.19419
98,"3PL",1.313641,-1.79474,0.18033
99,"3PL",1.360799,-0.96656,0.15788
100,"3PL",1.139153,-0.76484,0.16265
101,"3PL",1.713906,0.6913,0.18987
102,"3PL",1.204569,1.98232,0.2137
103,"3PL",1.306229,-1.48011,0.23013
104,"3PL",1.085144,0.61765,0.2865
105,"3PL",1.526039,0.00406,0.25043
106,"3PL",1.196205,0.22282,0.21943
107,"3PL",1.407668,0.73014,0.1522
108,"3PL",1.549397,0.67948,0.31515
109,"3PL",2.110414,0.69195,0.33588
110,"3PL",2.838592,0.81838,0.19336
111,"3PL",0.699499,1.73494,0.2889
112,"3PL",2.14574,0.82004,0.19452
113,"3PL",2.531929,1.22914,0.16589
114,"3PL",0.508623,3.32344,0.25421
115,"3PL",1.224476,1.04329,0.15815
116,"3PL",1.455693,0.78868,0.14692
117,"3PL",1.545691,1.03775,0.31008
118,"3PL",1.416389,1.54279,0.20721
119,"3PL",1.818133,1.0078,0.2512
120,"3PL",1.111324,2.2113,0.16622
121,"3PL",1.25919,-0.48223,0.25421
122,"3PL",1.892627,-0.92399,0.22273
123,"3PL",1.001487,-0.58135,0.17305
124,"3PL",1.393014,-0.64738,0.18838
125,"3PL",0.690251,0.61458,0.21116
126,"3PL",0.748085,-2.14979,0.17068
127,"3PL",1.109318,-1.15075,0.20791
128,"3PL",1.10313,-1.62421,0.16619
129,"3PL",1.083325,-1.63581,0.15211
130,"3PL",1.339226,0.29165,0.19514
131,"3PL",0.821032,0.70346,0.16194
132,"3PL",1.017654,-0.99609,0.09855
133,"3PL",1.258697,-0.72835,0.23
134,"3PL",0.899844,-1.18506,0.13873
135,"3PL",1.114894,-0.8381,0.08011
136,"3PL",1.330658,-0.37079,0.09592
137,"3PL",1.041539,0.21238,0.2399
138,"3PL",1.217438,-0.48024,0.07563
139,"3PL",0.93993,-1.50126,0.1393
140,"3PL",0.769828,-0.31252,0.31358
141,"3PL",1.159995,-0.41403,0.15278
142,"3PL",1.442348,-0.03365,0.09254
143,"3PL",1.153467,1.24763,0.14245
