ID,MODEL,PAR1,PAR2,PAR3
RD0001,3PL,0.715204894,2.293925594,0.069025425
RD0002,3PL,1.911772386,0.601358477,0.093004932
RD0003,3PL,1.413642142,-1.028529504,0.13626191
RD0004,3PL,0.70122009,1.158365112,0.155158405
RD0005,3PL,1.252176948,1.339181625,0.059827089
RD0006,GPC,2.631215594,1.854485837,3.877942612
RD0007,GPC,1.817618821,2.053406078,1.989244145
RD0008,3PL,0.77969675,-1.543519979,0.193892972
RD0009,3PL,1.435926038,2.229043488,0.053975383
RD0010,3PL,1.512585392,2.631708752,0.206215611
RD0011,3PL,0.735427611,-0.478618769,0.180143882
RD0012,3PL,1.065860754,1.023401466,0.155837799
RD0013,3PL,0.813046469,1.196666675,0.103042113
RD0014,3PL,0.47072022,-2.119356563,0.208719439
RD0015,3PL,1.530413834,-1.195291558,0.084333255
RD0016,GPC,1.546043068,1.351743043,1.23396769
RD0017,GPC,2.180252016,2.259062098,1.998341809
RD0018,3PL,0.788117136,-0.20806922,0.003225647
RD0019,3PL,1.696109348,0.487182813,0.197308953
RD0020,3PL,0.2071432,-1.171411439,0.225854894
RD0021,3PL,1.087312241,-1.146268425,0.165261563
RD0022,3PL,1.640238719,0.335108072,0.184421262
RD0023,3PL,1.174796739,0.446655858,0.151825391
RD0024,3PL,1.208690987,-1.412467286,0.015668327
RD0025,3PL,1.076790606,0.685648484,0.084720677
RD0026,3PL,1.604036625,-0.573397596,0.210084065
RD0027,GPC,2.010565226,1.564449943,2.782761723
RD0028,3PL,0.502210146,0.559821321,0.236039519
RD0029,GPC,2.484009628,-0.332365429,1.184714142
RD0030,3PL,1.813681662,-1.990733137,0.116127972
RD0031,3PL,1.43935455,3.200401491,0.237025914
RD0032,3PL,1.117535657,1.124978127,0.014725614
RD0033,3PL,2.066151049,0.447901196,0.177588808
RD0034,3PL,0.861128158,0.429396134,0.038111913
RD0035,3PL,1.285713079,1.638053849,0.209000352
RD0036,3PL,1.523161432,0.965649657,0.04199356
RD0037,3PL,0.931672337,0.513885739,0.152845987
RD0038,GPC,1.736803701,0.386463295,2.313890626
RD0039,3PL,1.386984131,0.92109291,0.045432285
RD0040,3PL,1.154960255,-0.204909006,0.150783701
RD0041,3PL,1.08693878,0.335371392,0.100693426
RD0042,3PL,1.328082806,1.546147451,0.235931041
RD0043,3PL,0.903820334,-0.964363093,0.13294705
RD0044,3PL,0.783870306,-0.513459341,0.031170118
RD0045,3PL,1.42542663,-0.713362025,0.071694546
RD0046,3PL,1.503325812,-0.744540158,0.044186448
RD0047,3PL,1.528835811,1.02471125,0.038369992
RD0048,3PL,1.901067537,-1.336671166,0.113886343
RD0049,GPC,1.693246677,1.875932893,2.771616051
RD0050,GPC,2.434176676,1.259534475,2.642152802
RD0051,3PL,1.775720717,1.106204765,0.031210987
RD0052,3PL,1.081414469,-0.307803239,0.004674571
RD0053,3PL,1.014938736,1.158295527,0.242674728
RD0054,3PL,1.046069119,0.59628946,0.065789599
RD0055,3PL,1.357848364,-1.049494606,0.243318183
RD0056,3PL,1.567592194,-0.752674421,0.00999486
RD0057,3PL,1.333589375,1.40336029,0.212865952
RD0058,3PL,1.523481008,0.544351302,0.083500074
RD0059,3PL,1.933666001,-1.283196005,0.025452336
RD0060,3PL,1.177529978,0.524043491,0.180682373
RD0061,GPC,1.377237514,0.992573915,0.874898142
RD0062,3PL,1.557650332,-1.401715281,0.161508542
RD0063,3PL,1.870487713,-1.44709897,0.094401058
RD0064,GPC,2.299654908,0.072549539,1.967257497
RD0065,3PL,1.111254496,-1.277674998,0.120608607
RD0066,3PL,1.137055729,-1.343603216,0.05342403
RD0067,3PL,1.264281114,0.785193094,0.034996134
RD0068,3PL,1.619293423,0.360771298,0.202732982
RD0069,3PL,1.019462185,0.277874892,0.228513797
RD0070,GPC,1.974114455,-0.766829307,0.73644974
RD0071,3PL,1.020729785,-0.079264054,0.12263996
