ID,MODEL,PAR1,PAR2,PAR3
1,"3PL",0.077197,0.39162,0.09742
2,"3PL",0.080121,0.60149,0.1019
3,"3PL",0.075973,0.32054,0.07913
4,"3PL",0.100657,0.18646,0.06509
5,"3PL",0.110398,0.31148,0.08365
6,"3PL",0.099229,0.27392,0.08318
7,"3PL",0.128214,0.25712,0.08041
8,"3PL",0.147203,0.14656,0.06519
9,"3PL",0.143191,0.15906,0.06509
10,"3PL",0.117912,0.12952,0.05171
11,"3PL",0.14977,0.1707,0.05412
12,"3PL",0.096594,0.21821,0.08603
13,"3PL",0.085119,0.30427,0.08721
14,"3PL",0.132702,0.1308,0.06071
15,"3PL",0.094231,0.14222,0.05829
16,"3PL",0.109412,0.15069,0.06014
17,"3PL",0.135116,0.12417,0.03434
18,"3PL",0.070448,0.37392,0.09109
19,"3PL",0.11033,0.26251,0.07634
20,"3PL",0.152167,0.122,0.04902
21,"3PL",0.12223,0.16128,0.05844
22,"3PL",0.089386,0.35942,0.07719
23,"3PL",0.14246,0.23387,0.06458
24,"3PL",0.145384,0.12251,0.03693
25,"3PL",0.09792,0.29189,0.06529
26,"3PL",0.110959,0.25732,0.07048
27,"3PL",0.206227,0.07551,0.02375
28,"3PL",0.234974,0.10067,0.02832
29,"3PL",0.226593,0.13867,0.01759
30,"3PL",0.180812,0.08336,0.0213
31,"3PL",0.131172,0.26573,0.06975
32,"3PL",0.188904,0.16617,0.04561
33,"3PL",0.173009,0.11642,0.03191
34,"3PL",0.188445,0.10432,0.03214
35,"3PL",0.186082,0.08703,0.02403
36,"3PL",0.267053,0.24833,0.03018
37,"3PL",0.159732,0.16216,0.04041
38,"3PL",0.303926,0.14088,0.01944
39,"3PL",0.282064,0.17133,0.01849
40,"3PL",0.351815,0.2007,0.01611
41,"3PL",0.083827,0.16186,0.07358
42,"3PL",0.103972,0.17739,0.08415
43,"3PL",0.095404,0.13297,0.06214
44,"3PL",0.107168,0.25229,0.07522
45,"3PL",0.111605,0.15671,0.05101
46,"3PL",0.143123,0.08505,0.02701
47,"3PL",0.071281,0.32768,0.09528
48,"3PL",0.08364,0.25909,0.08333
49,"3PL",0.051255,0.44961,0.08233
50,"3PL",0.121278,0.14481,0.04525
51,"3PL",0.138941,0.07051,0.03133
52,"3PL",0.139417,0.11521,0.03596
53,"3PL",0.076772,0.16875,0.06737
54,"3PL",0.113781,0.12271,0.06845
55,"3PL",0.052462,0.69838,0.08963
56,"3PL",0.120989,0.14433,0.04497
57,"3PL",0.176647,0.06666,0.02551
58,"3PL",0.251872,0.12256,0.02083
59,"3PL",0.14263,0.13227,0.05026
60,"3PL",0.142375,0.14766,0.04666
61,"3PL",0.108001,0.09413,0.0411
62,"3PL",0.177123,0.07204,0.02916
63,"3PL",0.104074,0.08535,0.0326
64,"3PL",0.09061,0.12077,0.05566
65,"3PL",0.106165,0.13583,0.07368
66,"3PL",0.080852,0.07522,0.0349
67,"3PL",0.099484,0.14109,0.06712
68,"3PL",0.148019,0.08158,0.02657
69,"3PL",0.216036,0.08141,0.02712
70,"3PL",0.13039,0.1109,0.03947
71,"3PL",0.297959,0.05926,0.01588
72,"3PL",0.38233,0.07032,0.01393
73,"3PL",0.262259,0.09225,0.01983
74,"3PL",0.355861,0.08085,0.01242
75,"3PL",0.437869,0.13168,0.00888
76,"3PL",0.134742,0.12459,0.04173
77,"3PL",0.196197,0.09391,0.02768
78,"3PL",0.21437,0.06404,0.02126
79,"3PL",0.258349,0.05421,0.01605
80,"3PL",0.23681,0.08652,0.0175
81,"3PL",0.118864,0.21455,0.08478
82,"3PL",0.108358,0.16262,0.06904
83,"3PL",0.141525,0.12019,0.0571
84,"3PL",0.079152,0.24914,0.06961
85,"3PL",0.193664,0.11426,0.04397
86,"3PL",0.106862,0.18259,0.0826
87,"3PL",0.077367,0.33959,0.08961
88,"3PL",0.142035,0.35638,0.07593
89,"3PL",0.127942,0.15569,0.06186
90,"3PL",0.086581,0.24294,0.07025
91,"3PL",0.103275,0.13321,0.05283
92,"3PL",0.066759,0.38626,0.08356
93,"3PL",0.121142,0.20517,0.07563
94,"3PL",0.129676,0.22172,0.07902
95,"3PL",0.167501,0.14526,0.05247
96,"3PL",0.280279,0.07426,0.02774
97,"3PL",0.269161,0.13711,0.02176
98,"3PL",0.104584,0.16712,0.07765
99,"3PL",0.115855,0.14111,0.06321
100,"3PL",0.102612,0.16538,0.06413
101,"3PL",0.213078,0.06878,0.02625
102,"3PL",0.272748,0.19471,0.02434
103,"3PL",0.126803,0.20367,0.08914
104,"3PL",0.185895,0.16674,0.05042
105,"3PL",0.186235,0.12009,0.04749
106,"3PL",0.157709,0.14518,0.05068
107,"3PL",0.179163,0.08238,0.03098
108,"3PL",0.258468,0.10025,0.0347
109,"3PL",0.330565,0.07172,0.02542
110,"3PL",0.350098,0.04516,0.01604
111,"3PL",0.176239,0.28367,0.05399
112,"3PL",0.262259,0.05663,0.02024
113,"3PL",0.369172,0.05931,0.01403
114,"3PL",0.146523,0.63979,0.04526
115,"3PL",0.177055,0.09753,0.03141
116,"3PL",0.191454,0.07748,0.02926
117,"3PL",0.274686,0.09689,0.02851
118,"3PL",0.26894,0.12079,0.02378
119,"3PL",0.2805,0.07517,0.02349
120,"3PL",0.257431,0.23501,0.02353
121,"3PL",0.112047,0.15176,0.05644
122,"3PL",0.142307,0.10224,0.05465
123,"3PL",0.082178,0.17503,0.06107
124,"3PL",0.104533,0.12041,0.0523
125,"3PL",0.098005,0.25267,0.06146
126,"3PL",0.057664,0.26485,0.07877
127,"3PL",0.087278,0.19521,0.07632
128,"3PL",0.071298,0.17103,0.07314
129,"3PL",0.068357,0.16428,0.06897
130,"3PL",0.115787,0.08495,0.03205
131,"3PL",0.093993,0.15364,0.04467
132,"3PL",0.060146,0.1209,0.04601
133,"3PL",0.101065,0.15574,0.06195
134,"3PL",0.061727,0.1797,0.06248
135,"3PL",0.060129,0.09369,0.03754
136,"3PL",0.082586,0.08277,0.03588
137,"3PL",0.112353,0.15178,0.04777
138,"3PL",0.068595,0.07989,0.033
139,"3PL",0.05967,0.17346,0.06417
140,"3PL",0.098787,0.33625,0.07914
141,"3PL",0.088009,0.12825,0.04977
142,"3PL",0.094027,0.06554,0.02851
143,"3PL",0.12818,0.07295,0.02366
144,"3PL",0.073627,0.14893,0.06276
145,"3PL",0.083164,0.13283,0.05429
146,"3PL",0.123046,0.10763,0.03466
147,"3PL",0.112676,0.05829,0.02494
148,"3PL",0.233189,0.08412,0.0134
149,"3PL",0.076925,0.28808,0.08174
150,"3PL",0.107287,0.19954,0.05494
151,"3PL",0.117912,0.16796,0.04958
152,"3PL",0.11118,0.11569,0.03587
153,"3PL",0.195381,0.11228,0.0208
